Age(yr),LOM (g/cm2),ROM_cellulose (g/cm2),ROM_lignin(g/cm2),ROM (g/cm2),dt (cm),db (cm),rt (g/cm2),frp (g/cm2),crp(g/cm2),lrp(g/cm2),TOM (g/cm2),wi_t (g/cm2),V(cm3),db_corr (cm),BD (g/cm3),AFDW or OM %,OC Density (mg/cm3),C_Seq (g/m2/yr),OM Density (mg/cm3),Inorganic Matter(%),Inorganic Matter Density (mg/cm3),Necro_Mass (Mg/ha),LOM_A (g/cm2),ROM_A_cell (g/cm2),ROM_A_lig(g/cm2),ROM_A (g/cm2),LOM_Nr (g/cm2),ROM_Nr (g/cm2),Cumulative Nr (Mg/ha),Vol cont to cohort from litter,Vol cont to cohort from live root,Vol cont to cohort from necro root,Vol cont to cohort from inorganic,Vol cont % to cohort from litter,Vol cont % to cohort from live root,Vol cont %to cohort from necro root,Vol cont % to cohort from inorganic
0,0.027692730000000002,0.00733647,0.0083328,0.01566927,0.0,0.42049842990418745,0.0024457806384980633,0.00026903587023478694,0.00012228903192490316,0.0001039456771361677,0.04556320257464826,0.015718759014907515,0.4204984361027654,0.4204984361027654,0.14573647920673624,74.35010465202463,50.41326231475576,211.98697962193276,108.3552248063845,25.649895347975374,37.381254400351736,4.3362,0.027692730000000002,0.00733647,0.0083328,0.01566927,0.0,0.0,0.0,0.3942,0.020010932496802337,0.0,0.006287503605963006,93.74588967642717,4.75886014755876,0.0,1.4952501760140688
1,0.0029373426200019364,0.007424894473960592,0.008409583984403744,0.015834478458364335,0.42049842990418745,0.606194349910901,0.0010768095388727556,0.00011844904927600312,5.384047694363778e-05,4.5764405402092116e-05,0.019740949663351753,0.015581861904944982,0.1856959235197212,0.6061943534239087,0.19021856214600957,55.887254685778856,47.63042227553689,88.44775252090123,106.3079322861669,44.112745314221144,83.91062985984267,1.8771821078366273,0.002769272999999999,0.007256502477,0.00830030208,0.015556804557,0.00016806962000193723,0.0002776739013643347,0.04457435213662719,0.16660070506363633,0.008810259863504364,0.004052213830602472,0.006232744761977993,89.7169425724863,4.7444551805515,2.1821770525684805,3.3564251943937076
2,0.001307680303497676,0.007418101460945811,0.008424900405475878,0.015843001866421687,0.606194349910901,0.7763996787792264,0.0009852282261798016,0.00010837510487977817,4.926141130899008e-05,4.187219961264157e-05,0.018037387573481185,0.015572703773675688,0.17020533217748104,0.7763996820883821,0.1974679107709156,53.666583012744454,47.244014058601344,80.41183106241824,105.97428025740557,46.333416987255546,91.49363051351006,1.7150682169919365,0.0011630946599999997,0.0071774066000007,0.008267930901888,0.0154453375018887,0.0001445856434976764,0.0003976643645329861,0.09879935293969344,0.1509857469262609,0.008060958214198376,0.004929545527551477,0.006229081509470275,88.70800050425038,4.736019789199576,2.896234486009645,3.6597452205404
3,0.0006169288284678558,0.007405077118393981,0.008436065073744479,0.01584114219213846,0.7763996787792264,0.9399802783846858,0.0009453022190669995,0.00010398324409736995,4.726511095334998e-05,4.0175344310347487e-05,0.017308843017766615,0.015568711172964407,0.16358060281251863,0.9399802815917451,0.20098687512731764,52.6463827490136,47.061362078940476,76.98325978051287,105.81231955480963,47.3536172509864,95.17455557250798,1.6458071020606317,0.0004884997572,0.007099172868060693,0.008235685971370636,0.01533485883943133,0.00012842907126785587,0.0005062833527071306,0.16227059533719207,0.14384871451483028,0.007734290883275451,0.00577011294522715,0.006227484469185763,87.93751339802601,4.72812225306432,3.5273821260093623,3.806982222900319
4,0.00032406956598996547,0.007389445835586249,0.008445402233565607,0.015834848069151856,0.9399802783846858,1.1006926544816733,0.0009272226005472635,0.00010199448606019899,4.636113002736318e-05,3.9406960523258704e-05,0.016993417975634362,0.015566903211112433,0.16071237924475734,1.1006926576294431,0.20259995738821693,52.190572317054674,46.97864364250667,75.50049593478839,105.73807727501931,47.809427682945326,96.86188011319763,1.6158917635141823,0.000205169898024,0.007021791883798831,0.008203566796082291,0.015225358679881121,0.00011889966796596547,0.000609489389270735,0.23510950106086212,0.1402775325264102,0.007586366731750338,0.006621718702151822,0.006226761284444974,87.28483343076775,4.720461962794205,4.12022940191014,3.8744752045279047
5,0.00019982627707842952,0.0073727401520260385,0.008453895148394118,0.015826635300420156,1.1006926544816733,1.2601282221792323,0.0009183848397962611,0.00010102233237758872,4.591924198981306e-05,3.90313556913411e-05,0.01685300793331522,0.015566019435037333,0.1594355708041533,1.2601282252858266,0.20333622669545484,51.98492768406471,46.94109261972469,74.84079895996433,105.70419040313809,48.01507231593529,97.63203629231677,1.6026461577498585,8.617135717008001e-05,0.006945254352265424,0.00817157288557757,0.015116827237842995,0.00011365491990834951,0.0007098080625771615,0.3174557993094132,0.13820907813648248,0.007514057780151227,0.007486027113504645,0.0062264077740149335,86.68647619812211,4.7129117688431705,4.695330581342036,3.905281451692671
6,0.00014703678080810949,0.0073556080805889275,0.008461960053713108,0.015817568134302035,1.2601282221792323,1.4189609452351009,0.0009134575378572805,0.00010048032916430086,4.567287689286403e-05,3.8821945358934424e-05,0.016786716699181695,0.015565526704843435,0.1588327261290437,1.418960948308276,0.20368751574370478,51.88733433271945,46.92322087036566,74.52943089595415,105.68802228794667,48.11266566728055,97.99949345575811,1.5964604915110143,3.619197001143361e-05,0.006869551079825731,0.008139703751323817,0.015009254831149548,0.00011084481079667588,0.0008083133031524872,0.4093716107043295,0.13677678910146346,0.007473743491559568,0.008355982854083302,0.006226210681937374,86.11373262607047,4.705417878106255,5.260869757592954,3.9199797382303236
7,0.00012452659710094998,0.007338323503991983,0.0084697733451351,0.015808096849127082,1.4189609452351009,1.5774760245603994,0.000910185374233179,0.0001001203911656497,4.5509268711658956e-05,3.868287840491011e-05,0.01675179028303789,0.015565199488481025,0.15851508236846415,1.577476027603565,0.20387327999741314,51.83586219345623,46.913781732318824,74.36541975514672,105.67947246873824,48.16413780654377,98.1938075286749,1.593262344622803,1.5200627404802116e-05,0.006794672973055631,0.008107958906693654,0.014902631879749285,0.00010932596969614786,0.0009054649693777967,0.5108507046117239,0.13561665915594623,0.007446971243726011,0.009225372173399495,0.00622607979539241,85.55441988839199,4.697957527105037,5.819870283355978,3.927752301146998
8,0.00011484746278045482,0.007321002040814425,0.008477409958529058,0.01579841199934348,1.5774760245603994,1.7357939283991266,0.0009076142524445246,9.98375677688977e-05,4.538071262222623e-05,3.85736057288923e-05,0.016730112289324008,0.01556494237630216,0.15831790685346636,1.7357939314138657,0.203988641003935,51.803944791370824,46.90792397389559,74.26364338388684,105.67416296634612,48.196055208629176,98.31447803758887,1.5913259462123936,6.384263510016889e-06,0.006720611037649324,0.008076337866957549,0.014796948904606873,0.00010846319927043793,0.0010014630947366085,0.6218433340124285,0.1345757560737899,0.007425934792727929,0.010090239036427695,0.006225976950520864,85.00349628696685,4.690521078958629,6.373403512570992,3.932579121503555
9,0.00011060554352880256,0.007303692359850353,0.008484901906756992,0.015788594266607343,1.7357939283991266,1.893965323278539,0.0009053405499080001,9.958746048988001e-05,4.526702749540001e-05,3.847697337109001e-05,0.016714006305053344,0.015564715006048507,0.15817139786654072,1.8939653262656673,0.20407432536151368,51.780261504053996,46.90357511392706,74.18804040708133,105.67021933482577,48.219738495946004,98.40410602668791,1.5899199810136144,2.6813906742070937e-06,0.006647356377338947,0.008044840149276413,0.01469219652661536,0.00010792415285459547,0.0010963977399919833,0.7422755232970865,0.13358979924808698,0.007407331771974547,0.010948380844059807,0.006225886002419403,84.45888513978058,4.6831044499110925,6.921846169240821,3.9361642410675155
