Age(yr),LOM (g/cm2),ROM_cellulose (g/cm2),ROM_lignin(g/cm2),ROM (g/cm2),dt (cm),db (cm),rt (g/cm2),frp (g/cm2),crp(g/cm2),lrp(g/cm2),TOM (g/cm2),wi_t (g/cm2),V(cm3),db_corr (cm),BD (g/cm3),AFDW or OM %,OC Density (mg/cm3),C_Seq (g/m2/yr),OM Density (mg/cm3),Inorganic Matter(%),Inorganic Matter Density (mg/cm3),Necro_Mass (Mg/ha),LOM_A (g/cm2),ROM_A_cell (g/cm2),ROM_A_lig(g/cm2),ROM_A (g/cm2),LOM_Nr (g/cm2),ROM_Nr (g/cm2),Cumulative Nr (Mg/ha),Vol cont to cohort from litter,Vol cont to cohort from live root,Vol cont to cohort from necro root,Vol cont to cohort from inorganic,Vol cont % to cohort from litter,Vol cont % to cohort from live root,Vol cont %to cohort from necro root,Vol cont % to cohort from inorganic
0,0.03523386,0.00910134,0.0104208,0.01952214,0.0,0.570652365042777,0.006179749535781369,0.000803367439651578,0.0003707849721468821,0.0002626393552707082,0.060317774582203235,0.055772480705322466,0.5706523975748857,0.5706523975748857,0.20343427238872044,51.95765521646207,46.936101680560526,267.8419895683049,105.69967783984968,48.04234478353793,97.73459454887077,5.4756,0.03523386,0.00910134,0.0104208,0.01952214,0.0,0.0,0.0,0.49778181818181816,0.05056158711093847,0.0,0.022308992282128987,87.2303034732269,8.860312744818243,0.0,3.909383781954831
1,0.003955963894211335,0.009490644594803517,0.010752184375347393,0.02024282897015091,0.570652365042777,0.8362525331440337,0.0028642520769597128,0.0003723527700047627,0.00017185512461758275,0.0001217307132707878,0.026776619733625988,0.0554409309594403,0.2656001881440124,0.8362525531867895,0.3095538119441643,32.568009516104645,42.39658817132999,112.60541794969457,100.81551493144012,67.43199048389536,208.73829701272425,2.4198792864362244,0.0035233859999999964,0.009002135393999999,0.010380158879999999,0.019382294273999998,0.0004325778942113386,0.0008605346961509108,0.12931125903622495,0.2082334570363636,0.023434789720579465,0.011755569003293177,0.02217637238377612,78.4010954553452,8.823333253014404,4.426039411131415,8.34953188050897
2,0.0018620003612802288,0.009613615695403824,0.010882680950992225,0.02049629664639605,0.8362525331440337,1.0834314913090992,0.002658770709502077,0.00034564019223527,0.0001595262425701246,0.00011299775515383828,0.024751190646228143,0.055420382822694535,0.2471789771856973,1.083431510329731,0.3243462465203603,30.87277644091964,41.84959778511148,103.44340776156676,100.13469158274495,69.12722355908036,224.2115549376154,2.2358297007676278,0.0014798221199999986,0.0089040121182054,0.010339676260367999,0.019243688378573397,0.0003821782412802301,0.0012526082678226517,0.2927899099465131,0.18839554998703087,0.02175357853228972,0.014861695537298925,0.022168153129077814,76.21827395357154,8.80073976353862,6.012524085385234,8.968462197504612
3,0.0009681521337926084,0.00971900310891006,0.011000298459605613,0.020719301568515675,1.0834314913090992,1.3238634034630001,0.0025798987327116368,0.0003353868352525128,0.0001547939239626982,0.00010964569614024457,0.024009362561748758,0.05541249562501549,0.24043193062954035,1.3238634219386396,0.3303299107519049,30.230169766727954,41.632007884332154,100.09664031614227,99.85929281058178,69.76983023327205,230.4706179413231,2.168745370230828,0.0006215252903999995,0.008806958386116961,0.010299351522952563,0.019106309909069523,0.00034662684339260895,0.0016129916594461516,0.4887517602303892,0.17934395635881384,0.02110826235854976,0.01781471366217055,0.022164998250006195,74.59240371660476,8.779309097290225,7.409462468452087,9.218824717652923
4,0.000587214898241297,0.009817006969843797,0.011112709108563804,0.0209297160784076,1.3238634034630001,1.5625398571237519,0.002554934395549693,0.00033214147142146007,0.00015329606373298157,0.00010858471181086195,0.02381637193264362,0.0554099991912993,0.23867647179146173,1.562539875254462,0.33194043187116146,30.06116725374804,41.57377983597058,99.22683090284475,99.7851684076034,69.93883274625196,232.15526346355804,2.15169309766489,0.0002610406219679998,0.008710962539708286,0.010259184052013048,0.018970146591721332,0.00032617427627329714,0.001959569486686269,0.7173261365263458,0.174828974669903,0.020904008690861123,0.02077948875417787,0.02216399967651972,73.24935439076539,8.758303042591285,8.706132028100988,9.286210538542326
5,0.00042547377418314543,0.009911969157840702,0.011223178484419175,0.021135147642259877,1.5625398571237519,1.8015967861370956,0.002552901910231402,0.0003318772483300823,0.00015317411461388412,0.0001084983311848346,0.02385823313565128,0.055409795942767466,0.23905694688302773,1.8015968040067796,0.3315863860555584,30.098178815634064,41.586568300110244,99.41558049166859,99.80146340330066,69.90182118436593,231.7849226522577,2.156062141644302,0.00010963706122655992,0.008616013048025466,0.010219173234210196,0.018835186282235662,0.0003158367129565855,0.002299961360024215,0.9789059438244258,0.17222566675874748,0.020887379265529655,0.02377998248164364,0.022163918377106986,72.04378245616043,8.737407357482065,9.947413280267215,9.271396906090308
6,0.00035740022961057227,0.010005735590024031,0.011333094672588417,0.02133883026261245,1.8015967861370956,2.0419497978162897,0.002560597611929364,0.0003328776895508173,0.00015363585671576184,0.00010882539850699798,0.024000768342959448,0.055410565512937264,0.24035302932298808,2.0419498154600837,0.33039456203060047,30.22335374256815,41.62966772832999,100.05816748213547,99.85631722871715,69.77664625743185,230.53824480188334,2.169623049222302,4.604756571515517e-05,0.008522098505801988,0.010179318458596777,0.018701416964398764,0.0003113526638954171,0.0026374132982136846,1.273782540035336,0.17043149572830837,0.020950344097603886,0.026806963291900923,0.022164226205174907,70.90881950120186,8.716488473898396,11.153162232824425,9.221529792075334
7,0.00032934803431378253,0.010099088313315786,0.011443045474561184,0.02154213378787697,2.0419497978162897,2.283992972472134,0.0025723917010815178,0.00033441092114059733,0.00015434350206489105,0.00010932664729596451,0.024186634353164118,0.055411744921852475,0.2420431920884148,2.2839929899047045,0.32886022774786616,30.38583771862744,41.685266954930455,100.89635076829079,99.92693512457521,69.61416228137256,228.93329262329095,2.187148182219075,1.9339977600365174e-05,0.008429207632088745,0.01013961911660825,0.018568826748696997,0.00031000805671341735,0.002973307039179973,1.6021140496246749,0.16898333387543057,0.021046841190666965,0.029848319053576277,0.02216469796874099,69.81536329007902,8.695489845869686,12.331815159119671,9.157331704931638
8,0.0003183916898016237,0.010192355814671136,0.011553277481301373,0.02174563329597251,2.283992972472134,2.5278974607863485,0.0025858827628599088,0.00033616475917178817,0.0001551529657715945,0.00010990001742154613,0.02439131947234805,0.05541309402803032,0.24390450554164894,2.527897478013783,0.3271953231169441,30.563872851759516,41.745744407850026,101.81975148264725,100.00356253436652,69.43612714824049,227.19176058257761,2.2064024985774133,8.122790592153373e-06,0.008337329268898979,0.010100074602053477,0.018437403870952454,0.00031026889920947033,0.0033082294250200567,1.9639638820476275,0.1676866060140419,0.021157222605217435,0.03289543931117752,0.022165237611212127,68.75092595835949,8.674387772473782,13.487015845863626,9.087670423303111
9,0.0003147343894470103,0.010285673168695296,0.011663891755118328,0.021949564923813624,2.5278974607863485,2.7737390689858645,0.0026000455642838666,0.00033800592335690266,0.000156002733857032,0.00011050193648206434,0.024604340321116115,0.05541451030817271,0.24584162522432468,2.773739086010673,0.3254894306701458,30.748180119585893,41.807871591459794,102.78115099214351,100.08207641267107,69.2518198804141,225.40735425747474,2.2264299313260634,3.411572048704417e-06,0.00824645237986798,0.010060684311105468,0.018307136690973447,0.0003113228173983059,0.0036424282328401773,2.359338987071476,0.16645952966383776,0.021273100071413455,0.0359431913658044,0.022165804123269083,67.71006720767785,8.653172566688921,14.620466055334235,9.016294170298991
