Age(yr),LOM (g/cm2),ROM_cellulose (g/cm2),ROM_lignin(g/cm2),ROM (g/cm2),dt (cm),db (cm),rt (g/cm2),frp (g/cm2),crp(g/cm2),lrp(g/cm2),TOM (g/cm2),wi_t (g/cm2),V(cm3),db_corr (cm),BD (g/cm3),AFDW or OM %,OC Density (mg/cm3),C_Seq (g/m2/yr),OM Density (mg/cm3),Inorganic Matter(%),Inorganic Matter Density (mg/cm3),Necro_Mass (Mg/ha),LOM_A (g/cm2),ROM_A_cell (g/cm2),ROM_A_lig(g/cm2),ROM_A (g/cm2),LOM_Nr (g/cm2),ROM_Nr (g/cm2),Cumulative Nr (Mg/ha),Vol cont to cohort from litter,Vol cont to cohort from live root,Vol cont to cohort from necro root,Vol cont to cohort from inorganic,Vol cont % to cohort from litter,Vol cont % to cohort from live root,Vol cont %to cohort from necro root,Vol cont % to cohort from inorganic
0,0.010865934000000002,0.002508726,0.0029819400000000006,0.005490666000000001,0.0,0.2070960835314699,0.006330882557198258,0.0007597059068637909,4.431617790038781e-05,0.000269062508680926,0.022054394301478434,0.016504408466610165,0.20709625703644802,0.20709625703644802,0.18618783033486896,57.196781845443425,47.85163962636926,99.09895459678052,106.49344713939934,42.803218154556575,79.69438319546963,1.6356600000000003,0.010865934000000002,0.002508726,0.0029819400000000006,0.005490666000000001,0.0,0.0,0.0,0.14869636363636365,0.051798130013440295,0.0,0.006601763386644066,71.80060410758354,25.011620564597674,0.0,3.1877753278187857
1,0.0012727113658252034,0.002846229648371336,0.0033851198405040563,0.006231349488875392,0.2070960835314699,0.30664561922442046,0.003038545037207624,0.00036462540446491483,2.1269815260453367e-05,0.00012913816408132402,0.010238751388187457,0.016175174714611103,0.09954962796027586,0.3066457114917458,0.2653342523122108,38.76270172158413,44.12769237312641,43.928953584902374,102.85072478897771,61.23729827841587,162.4835275232331,0.7504060854700596,0.0010865934000000004,0.0024813808866,0.0029703104340000007,0.005451691320600001,0.00018611796582520298,0.0007796581682753909,0.0965776134100594,0.059438952005454564,0.02486082303169874,0.008779783037278126,0.006470069885844441,59.707859510206305,24.97329577325911,8.81950361560527,6.4993411009293265
2,0.0007485929209795044,0.002990317095698364,0.003571008134575789,0.006561325230274153,0.30664561922442046,0.40380691492461673,0.002962733470296341,0.0003555280164355609,2.0739134292074388e-05,0.0001259161724875945,0.009976378274520364,0.016167593557919975,0.09716138537335313,0.4038070045977736,0.2690778001155429,38.15938273824687,43.97442323218825,42.72615882233575,102.67842760974489,61.84061726175313,166.39937250579797,0.7309918151253657,0.0005628553812000002,0.00245433383493606,0.002958726223307401,0.005413060058243461,0.00018573753977950424,0.0011482651720306917,0.22997788459107898,0.05432650399494056,0.024240546575151883,0.012127297380092689,0.00646703742316799,55.913677832181065,24.948745308648043,12.481601958938972,6.655974900231918
3,0.00047487082600779863,0.00312846496924843,0.0037512041709110567,0.006879669140159486,0.40380691492461673,0.501477772385991,0.002975371604729884,0.00035704459256758603,2.0827601233109186e-05,0.00012645329320102008,0.010032374410424181,0.01616885737136333,0.09767094667967426,0.501477861604291,0.26826024188869774,38.28970520919436,44.00777351003286,42.982808999896,102.71605581265409,61.71029479080564,165.54418607604367,0.7354539966167284,0.00029155908746160013,0.002427581596135257,0.002947187191036502,0.005374768787171759,0.0001833117385461985,0.0015049003529877276,0.3987990937444716,0.05151207158757599,0.024343949493244504,0.015347382650308418,0.006467542948545332,52.74042418828717,24.92445330041076,15.71335506826031,6.621767443041746
4,0.0003334543220393448,0.003265835366664205,0.003931525513198159,0.007197360879862364,0.501477772385991,0.6012537202023538,0.003036500284028188,0.0003643800340833825,2.1255501988197316e-05,0.000129051262071198,0.010263665457527077,0.01617497023929316,0.09977603770959978,0.6012538100955908,0.2649798118238613,38.820707600889875,44.142279171647154,44.04341711217946,102.86703794952942,61.179292399110125,162.11277387433188,0.7530815201901708,0.00015102760730510887,0.0024011209567373825,0.00293569316099146,0.005336814117728843,0.00018242671473423593,0.0018605467621335215,0.6030964414312473,0.049889470227581376,0.0248440932329579,0.01857248615334325,0.006469988095717263,50.0014546306055,24.899859528664734,18.614174885756494,6.484510954973274
5,0.00026199765977874014,0.0034052312725361094,0.004115148849694283,0.007520380122230393,0.6012537202023538,0.7040450627987224,0.0031251015512029985,0.00037501218614435983,2.187571085842099e-05,0.00013281681592612745,0.010594969178091832,0.01618383036601064,0.10279143376542091,0.7040451539677747,0.26051586754995615,39.56476525634688,44.327140767973376,45.56450354261623,103.0724914516757,60.43523474365312,157.44337609828045,0.7782377782009133,7.82323005840464e-05,0.0023749487383089452,0.002924243957663593,0.005299192695972538,0.00018376535919469375,0.002221187426257855,0.8435917199765022,0.048885681786878035,0.025569012691660897,0.021863207140477715,0.0064735321464042565,47.55812813978201,24.87465322257459,21.26948359371217,6.2977350439312145
6,0.00022758784629271114,0.003548213854061295,0.004303861349893339,0.007852075203954634,0.7040450627987224,0.8104026351142871,0.003230143763420198,0.0003876172516104238,2.2611006343941388e-05,0.00013728110994535843,0.010986792437325523,0.01619433458723236,0.1063576650833068,0.8104027278820292,0.2555634048873461,40.42066551324036,44.53482274375997,47.36619761925257,103.30042906376231,59.57933448675964,152.26297582358376,0.8079663050247345,4.052433170253604e-05,0.0023490617970613778,0.0029128394062287047,0.005261901203290082,0.0001870635145901751,0.0025901740006645524,1.1213154715019749,0.04820386849993289,0.026428448973437987,0.025247613775042976,0.006477733834892944,45.32242077914764,24.848654728117026,23.738405459791988,6.09051903294335
7,0.00021285163833513872,0.003695691508137933,0.004498720402697086,0.008194411910835019,0.8104026351142871,0.9206898039906971,0.0033458617178486415,0.00040150340614183695,2.342103202494049e-05,0.00014219912300856728,0.011418539095233934,0.016205906382675207,0.11028726341883312,0.9206898985331202,0.25047720490625464,41.334907896577214,44.75111264906479,49.35477749013282,103.53452194992133,58.665092103422786,146.9426829563333,0.8407263549170158,2.099160382191367e-05,0.0023234570234734087,0.002901479332544413,0.0052249363560178215,0.00019186003451322504,0.0029694755548171975,1.4374490304350171,0.047690254180361234,0.02737523223694343,0.028739414448458386,0.006482362553070083,43.241851055139556,24.821753109406394,26.05868851720073,5.877707318253331
8,0.00020862020803079557,0.0038482304814988467,0.004700401528011567,0.008548632009510414,0.9206898039906971,1.035173309250478,0.003469267887410331,0.0004163121464892397,2.4284875211872315e-05,0.00014744388521493906,0.011879593316210506,0.016218246999631373,0.11448360167449352,1.0351734056651907,0.24543113515707948,42.27938226808364,44.96888436319092,51.48199845181911,103.76676783795865,57.72061773191636,141.66436731912086,0.8757252217541209,1.0873650779751281e-05,0.0022981313419175487,0.0028901635631474894,0.005188294905065038,0.0001977465572510443,0.0033603371044453757,1.793257396604659,0.04726516868949808,0.0283849190788118,0.03234621510633109,0.0064872987998525495,41.28553609265821,24.793873239171372,28.25401597540558,5.666574692764836
9,0.00021005627395439695,0.0040062186776019665,0.004909381863730865,0.008915600541332832,1.035173309250478,1.1540712620367262,0.0035988398048825013,0.00043186077658590013,2.519187863417751e-05,0.00015295069170750633,0.01236461263968148,0.016231204191378593,0.11889805112820126,1.1540713603786792,0.2405070273206311,43.23923569915773,45.18464576895476,53.72366322846841,103.99340041620535,56.76076430084227,136.51362690442573,0.912565681528723,5.632551103911164e-06,0.002273081710290647,0.0028788919252512144,0.005151973635541861,0.00020442372285048578,0.003763626905790971,2.1900624594688045,0.04688732896950702,0.029445052949038646,0.03607318753310415,0.006492481676551437,39.43490118181246,24.764958440983744,30.339595301026765,5.460545076177026
