Simunation No.,fc1 (g/g),fc2 (g/g),fc3 (g/g),si (g/cm2/yr),r0 (g/cm2),Total Accretion (cm),Mean Accretion (cm/yr),Mean OM%,Mean OM Density (mg/cm3),Mean BD (g/cm3),C_Seq (g/m2/yr),OC Density (mg/cm3),IM(%),IM Density (mg/cm3),Necromass (Mg/ha),Root Necromass (Mg/ha),Root Necromass Projected Up to 40 cm (Mg/ha),Sites
1,0.292334213,0.148268862,0.046383956,0.018316574,0.004646227,14.43222238,0.144322224,50.3491061,105.3759941,0.210467328,70.32165186,46.60770655,49.6509055,105.0913341,146.4612697,29.29141961,123.6781801,Rookery Bay
2,0.277656437,0.18707836,0.235592403,0.017988006,0.005097492,15.0851528,0.150851528,51.99280111,105.6693704,0.204093189,73.44835853,46.92116669,48.00721562,98.42381827,152.9798905,35.81004039,141.4224175,Rookery Bay
3,0.252523508,0.163929904,0.278544612,0.020395114,0.005484338,15.49611981,0.154961198,48.76615301,105.0986535,0.216493265,74.27086887,46.30890046,51.23386193,111.394611,155.7765634,38.60671335,146.4048409,Rookery Bay
4,0.295497771,0.151611281,0.371708692,0.022810174,0.004859786,15.31260394,0.153126039,45.0797069,104.3487537,0.232786558,72.3204653,45.55151257,54.92030869,128.4378047,153.5752511,36.40540104,141.2113445,Rookery Bay
5,0.261356053,0.134087982,0.207205417,0.020142719,0.005322687,15.19790286,0.151979029,48.66830633,105.0766188,0.216972095,73.00388485,46.28753692,51.33171158,111.8954759,152.9402363,35.77038626,139.6395738,Rookery Bay
6,0.283696864,0.161889878,0.256965852,0.018555702,0.005139563,15.16497006,0.151649701,51.15390247,105.5271787,0.207182649,73.55230624,46.76564334,48.84611514,101.6554705,153.5229239,36.35307382,142.4642579,Rookery Bay
7,0.286041369,0.178186266,0.175108516,0.014370607,0.005630629,15.31835215,0.153183522,59.42558982,106.7718834,0.180138635,76.39483699,48.20608161,40.57442879,73.36675162,156.3595807,39.18973062,150.5867173,Rookery Bay
8,0.281152345,0.135304968,0.232201503,0.012673603,0.005347726,14.95646259,0.149564626,62.84800365,107.1946813,0.170952354,75.61237516,48.74753616,37.15201351,63.75767235,153.639303,36.46945295,145.2417402,Rookery Bay
9,0.263661792,0.151540827,0.280635786,0.018238235,0.004500809,14.51420705,0.145142071,50.62149312,105.4263557,0.209373067,70.69575165,46.66068414,49.37851688,103.9467116,147.545438,30.37558792,127.4354072,Rookery Bay
10,0.273038382,0.161959074,0.316025965,0.02316221,0.006346534,16.68328309,0.166832831,46.74926148,104.7126734,0.224879247,78.70808758,45.9088984,53.25074089,120.1665736,165.9183031,48.74845301,165.4501265,Rookery Bay
11,0.270856299,0.156628492,0.18371169,0.028776341,0.004529491,14.97067302,0.14970673,37.78750175,102.4679422,0.27365142,68.42873584,43.81827244,62.21251206,171.1834781,147.733399,30.5635489,123.0321142,Rookery Bay
12,0.274324965,0.135704787,0.102290904,0.018778474,0.00537516,15.06445815,0.150644581,50.61652612,105.431437,0.209262878,73.02168917,46.66326468,49.38349245,103.8314406,152.0614647,34.89161463,137.8102398,Rookery Bay
13,0.253033811,0.162352382,0.429641269,0.016603051,0.004935037,15.00935562,0.150093556,54.38541911,106.0542588,0.195730542,73.74715363,47.3525179,45.61459473,89.67628324,152.9903307,35.82048059,142.5845092,Rookery Bay
14,0.281852462,0.152476039,0.277257637,0.021096051,0.004591338,14.7950954,0.147950954,46.59842544,104.6625919,0.225967619,70.69265644,45.86643453,53.40158642,121.3050269,149.1664236,31.99657354,130.626561,Rookery Bay
15,0.271773809,0.150138888,0.43845849,0.018883113,0.005568623,15.82932504,0.15829325,51.67115003,105.6213323,0.205136869,76.52741881,46.86536938,48.3288645,99.51553713,159.8541938,42.68434371,156.7152045,Rookery Bay
16,0.285887526,0.144739747,0.409926633,0.01996345,0.004849348,15.16352635,0.151635264,48.89133058,105.1194498,0.216041401,72.87234212,46.33185818,51.10868369,110.9219517,153.2574969,36.08764677,141.821978,Rookery Bay
17,0.282512487,0.161274281,0.289473003,0.018686776,0.005727733,15.79096704,0.15790967,51.93178958,105.6648038,0.204192288,76.45313137,46.91327201,48.06822236,98.52748418,159.3249347,42.15508465,155.1837392,Rookery Bay
18,0.267375281,0.1614019,0.490560598,0.019243793,0.005646151,16.02580323,0.160258032,51.39394865,105.5754145,0.206134483,77.29536571,46.81461074,48.60606364,100.5590688,161.6685441,44.49869403,160.3934576,Rookery Bay
19,0.262590026,0.159480364,0.359531341,0.023463829,0.005934063,16.28941304,0.16289413,45.76313484,104.5056033,0.229378298,76.66904335,45.70246955,54.23686685,124.8726951,162.2054798,45.0356297,158.616341,Rookery Bay
20,0.278371276,0.150063092,0.326734006,0.024484038,0.005144458,15.54113968,0.155411397,43.33430961,103.956525,0.241308654,72.69749396,45.17092899,56.66570732,137.3521288,154.8959828,37.72613273,143.0338491,Rookery Bay
21,0.277750396,0.161937459,0.458098825,0.021327856,0.005345618,15.80998252,0.158099825,47.9020433,104.9365254,0.220015893,75.29853163,46.1394398,52.09797268,115.0793678,158.8689935,41.69914344,153.7506706,Rookery Bay
22,0.266720244,0.117919964,0.290118202,0.026818653,0.004815292,15.195408,0.15195408,40.13649242,103.1447926,0.258945382,70.18522984,44.41857774,59.86352445,155.8005891,150.6233167,33.45346657,131.4494142,Rookery Bay
23,0.267205605,0.173847213,0.177257909,0.020039838,0.006355778,16.23038208,0.162303821,50.45235756,105.4122204,0.209679996,77.95002524,46.63792459,49.54764469,104.2677756,162.5182217,45.34837161,159.9808588,Rookery Bay
