Simunation No.,fc1 (g/g),fc2 (g/g),fc3 (g/g),si (g/cm2/yr),r0 (g/cm2),Total Accretion (cm),Mean Accretion (cm/yr),Mean OM%,Mean OM Density (mg/cm3),Mean BD (g/cm3),C_Seq (g/m2/yr),OC Density (mg/cm3),IM(%),IM Density (mg/cm3),Necromass (Mg/ha),Root Necromass (Mg/ha),Root Necromass Projected Up to 40 cm (Mg/ha),Sites
1,0.22557672336992163,0.21690413879664067,0.19866391545690718,0.020333168353064084,0.009462074074944551,25.852921409807692,0.25852921409807694,62.8324843326315,107.19305957807879,0.1709875025318602,128.982905481941,48.745256328528384,37.167529365591385,63.79444295378146,257.7250782107424,111.57348102976626,205.75309868511604,Shark River
2,0.3088936056117735,0.1484137027938307,0.19394697737069413,0.055080885184994446,0.011118583642923943,32.91340705607239,0.32913407056072386,40.27323376509753,103.13710283575794,0.2591121728796716,151.69764135293693,44.42567523471392,59.72677161462077,155.97507004391352,311.39513761197554,165.2435404309993,216.97412284504506,Shark River
3,0.3312867275755273,0.19883001176631634,0.18593923254933112,0.06731735531148537,0.017022689533812953,56.66443108256378,0.5666443108256378,49.688307190985384,105.03057764661611,0.21797217218190104,295.3798726295414,46.34715924746978,50.31169990553161,112.94159453528499,528.8776909859721,382.72609380499574,238.32848552668045,Shark River
4,0.28313086244466196,0.1526497398517585,0.18054148503259346,0.05584612146740286,0.009603471386853055,28.86908223035745,0.2886908223035745,36.45347455899296,102.06986403051552,0.2823005136676884,128.68618330925347,43.4692569234665,63.54653690878078,180.23064963717286,272.9931615344365,126.84156435346029,201.1106755526719,Shark River
5,0.2563082738866098,0.1616920125317484,0.19384379365281554,0.0544485910796882,0.009396189512199489,28.038887214070762,0.2803888721407076,36.38186875828347,102.05610835225939,0.282599426712624,124.74251599850717,43.45502434917901,63.61814429636687,180.5433183603645,265.47680164723715,119.32520446626074,197.34252466879298,Shark River
6,0.2946490359088641,0.19828521078836756,0.259660793892135,0.038636090748067314,0.004013684037340157,19.02645623978414,0.1902645623978414,36.227300391428386,101.98704102140121,0.28409994343596745,85.97381615117904,43.401017155886784,63.772707542791665,182.11290241456626,187.7865129861921,41.634915805215776,123.7807858373198,Shark River
7,0.26194811288407926,0.19525214844812025,0.1786529832694279,0.05143261903471312,0.006663434016944604,23.14139961959078,0.23141399619590777,33.17096426647935,100.96585618077573,0.30628739714253217,100.74694891106081,42.53684056740023,66.82903935451425,205.3215409617565,221.2597887899614,75.10819160898518,165.30299226662865,Shark River
8,0.29121081182051556,0.1786931487748507,0.2283174482754871,0.0534452695910977,0.0011168841736070075,16.329464266617293,0.16329464266617294,24.954116868416268,96.68744915622035,0.39924542448795336,69.66930263393456,39.30690330413338,75.04588319596246,302.5579753317329,156.371005717832,10.219408536855685,39.31583817034186,Shark River
9,0.308636427379732,0.1881548228253592,0.2358284967053592,0.07044835754203968,0.01842600017306336,63.19842342014219,0.6319842342014219,51.429995753336364,105.31754396192792,0.21173720692583423,337.0515704729529,46.66517300861262,48.57001254879073,106.41966296390638,587.9030242715054,441.75142709052926,237.1802956849228,Shark River
10,0.28350215872132944,0.18363714298696274,0.18296027527092482,0.05401225656005361,0.0035172126733780465,18.97631789045658,0.18976317890456582,27.581509705584857,98.40265573910746,0.36197881477976657,80.53597518662693,40.54500955937806,72.41849641886654,263.5761590406591,181.2606139908912,35.10901680991493,105.55834375368167,Shark River
11,0.25015594767811833,0.20026914441255605,0.21825074969009703,0.05836405678742454,0.010943352701497397,32.10792104278807,0.32107921042788073,38.028122657430956,102.51656196411791,0.27259483833161907,145.5797556291093,43.867516451955865,61.971882910103574,170.07827636750102,302.11059674931494,155.95899956833873,212.2377816520866,Shark River
12,0.2799723908274426,0.20342032214914618,0.2654691804898759,0.04998211287185207,0.0039584623018901165,19.47257617069031,0.1947257617069031,30.00298564366068,99.6067740425995,0.3358166795286908,84.02394174039969,41.463319455695704,69.99702334178252,236.20990548609137,187.65636876828685,41.504771587310536,119.61850152384363,Shark River
13,0.2880519866286692,0.1871307128284753,0.169223833027609,0.06095209342048947,0.01065079205514155,31.930672164276494,0.31930672164276497,36.726843105088136,102.11969002028576,0.2812177989489696,143.54817628579505,43.52200204214533,63.27316308868265,179.09810892868376,299.87274090026756,153.72114371929135,210.94026525898602,Shark River
14,0.30711582500247653,0.2083113955628452,0.2401888100260169,0.049266854002471806,0.0072013590511390176,24.64966345676883,0.2464966345676883,35.84529033148111,101.90172096391261,0.28595364239726395,109.11546807764303,43.318031609980615,64.15471467486437,184.05192143335114,237.02504325167538,90.87344607069909,181.7606541655923,Shark River
15,0.2873781703045425,0.1911028504758597,0.18196368659394227,0.06731924364458063,0.011257515469582709,34.04337854862554,0.3404337854862554,35.76928215837546,101.78144665710036,0.28856686240261087,152.89507062128246,43.240428178330724,64.23072234153615,186.78541574551042,317.26440576156415,171.11280858058788,214.49287338222197,Shark River
16,0.27211354396611337,0.17640552836695333,0.21273251682797198,0.05870342661879305,0.014214843994999941,41.70189962892868,0.4170189962892868,44.93657400807732,104.18297922978049,0.23638832562270076,202.5344513849092,45.44128470502934,55.06343914743997,132.20534639292023,390.8385328629013,244.686935681925,231.05735023357556,Shark River
17,0.30322480500127186,0.16992962050510066,0.20161301088834163,0.069430247817777,0.006348641490321556,23.984074016004616,0.23984074016004617,26.60661360210602,97.98192973276673,0.37111997356328663,98.63762777534195,40.21317863735831,73.39338972635721,273.1380438305199,222.816135257981,76.66453807700462,160.96426596001103,Shark River
18,0.27254151380735714,0.1652314784109503,0.23396716584146976,0.05257529348972216,0.011112120745648974,32.35492791321227,0.3235492791321227,41.09107294272183,103.36001546406627,0.25426889393097635,149.54733716944062,44.62714457146233,58.90893261783304,150.90887846691004,306.77570318530354,160.62410600432736,216.02371368383396,Shark River
