Simunation No.,fc1 (g/g),fc2 (g/g),fc3 (g/g),si (g/cm2/yr),r0 (g/cm2),Total Accretion (cm),Mean Accretion (cm/yr),Mean OM%,Mean OM Density (mg/cm3),Mean BD (g/cm3),C_Seq (g/m2/yr),OC Density (mg/cm3),IM(%),IM Density (mg/cm3),Necromass (Mg/ha),Root Necromass (Mg/ha),Root Necromass Projected Up to 40 cm (Mg/ha),Sites
1,0.4240279674883555,0.17835375524829522,0.3246957823189653,0.01392524797485858,0.025472335100444575,36.00288354735614,0.3600288354735614,76.25563754080875,108.35213591122631,0.14580410331792784,257.8934950136478,50.57368076582227,23.744382892937757,37.45196740670155,320.7863118226228,279.4188962448527,315.3100512376601,Taylor Slough
2,0.5097153384466885,0.20226247958327817,0.31117194003649307,0.016172152802409002,0.018527361603961515,20.175006721972117,0.20175006721972116,60.66279015919524,106.66342224964633,0.18249511560648823,121.47629408451252,48.2472802356735,39.337225074756915,75.83169335684198,184.72884741279364,143.36143183502364,316.91961001429155,Taylor Slough
3,0.49791832486067195,0.1950814179762642,0.30370261968726175,0.016860921708275974,0.027646435169723697,52.157758814486755,0.5215775881448675,79.25961425350866,108.58506806120893,0.14074311925882294,401.620387929089,50.96721767315897,20.740406031858555,32.15805119761399,465.2316423457934,423.86422676802357,311.654720123315,Taylor Slough
4,0.45516740618089374,0.17458125881590417,0.2835611946034617,0.01438156517535827,0.0189833865159694,19.06872913363439,0.19068729133634388,62.07927797957026,106.88508038165706,0.17767917377527467,113.47961916528729,48.4989798080218,37.920740648590005,70.79409339361764,174.15507833900097,132.78766276123088,313.8900139600988,Taylor Slough
5,0.5213147505931579,0.19587488931095448,0.2413921154975824,0.012108605436975617,0.024731223850367426,37.26959898590493,0.3726959898590493,79.283682181728,108.62269105049607,0.13992556760316444,273.65698098456716,50.99151852483545,20.716333835375135,31.30287655266841,335.58181234907505,294.21439677130496,318.9988709279093,Taylor Slough
6,0.463609462768812,0.18183549472002888,0.2510204182096288,0.012852211997956421,0.026284680710132152,39.934746437185055,0.39934746437185054,79.31967009511396,108.62211709001488,0.13993824216533216,294.78787994068267,50.99424168863761,20.680354080639535,31.316125075317316,355.89338731190253,314.52597173413255,315.11613233318764,Taylor Slough
7,0.5102597052067275,0.16524568898372127,0.3399157159315656,0.015797307405870743,0.016139192993619992,15.944207086780688,0.15944207086780687,55.06788955677216,105.90930834765702,0.19888080443734552,88.81478721657945,47.32489528884525,44.9321596937763,92.97149608968844,147.45655286001,106.08913728223999,311.60971640442244,Taylor Slough
8,0.49972370501013297,0.2257783122766899,0.3232900783158289,0.012385028832681527,0.02848712843051158,56.69944534492782,0.5669944534492781,84.62401193777514,109.03726371867162,0.13091802946499437,449.97413718276914,51.6914120336346,15.376003890870098,21.88076574632283,507.2792790341479,465.9118634563779,310.75586678203547,Taylor Slough
9,0.4870151592176873,0.1785420765388185,0.2613570582245897,0.013121729938773826,0.004142948272756547,5.51659289755893,0.05516592897558929,32.08336933168515,100.48283470818927,0.3167823903584219,24.318112007348912,42.1585688434532,67.91664444722348,216.2995556502326,53.43105051671976,12.063634938949724,150.40399687287055,Taylor Slough
10,0.5318958634834708,0.17738765074458426,0.2638036274586048,0.0145581745700834,0.027974269418664877,55.22530909919535,0.5522530909919535,82.23402559574984,108.84207008416229,0.13515909599554596,433.7469869449902,51.37247294594075,17.765991880853015,26.317025911383638,494.2461061719957,452.8786905942256,311.5524516844191,Taylor Slough
11,0.47864957907387773,0.15554078606064295,0.340589076239014,0.013069593631784376,0.03033886893410892,66.25815156842637,0.6625815156842637,85.70648822447852,109.1149534604593,0.12922999514413275,533.1371863257357,51.82952809528744,14.293525679649576,20.11504168367339,590.6880067232426,549.3205911454727,303.34175396687954,Taylor Slough
12,0.5045506112326964,0.1933386454776696,0.31071312631145326,0.0124000461856699,0.02378260376410281,34.140711271036594,0.34140711271036595,77.48535792146853,108.46942075408533,0.14325578346564122,245.37006284599929,50.747751104924966,22.51466090888946,34.786362711555896,308.414425326167,267.0470097483969,320.05845617216227,Taylor Slough
13,0.4501559986581225,0.19447457210019578,0.23046228644436179,0.010437938735686207,0.02106712488471057,22.065626069219405,0.22065626069219405,72.67855015673345,108.07707847762697,0.15178072857793048,141.07091505292863,50.10642912179112,27.321485372394132,43.70365010030356,200.93576536988738,159.56834979211735,316.5709872000025,Taylor Slough
14,0.4739509442880966,0.1820451485604802,0.27580838960722137,0.010415907262731765,0.021216698097170958,23.816408672854546,0.23816408672854547,74.24867342737397,108.21650566624523,0.14875135595000386,156.33735641472393,50.32257849242785,25.751362098744707,40.53485028375863,217.26540218954383,175.8979866117737,319.0067157703629,Taylor Slough
