Age(yr),LOM (g/cm2),ROM_cellulose (g/cm2),ROM_lignin(g/cm2),ROM (g/cm2),dt (cm),db (cm),rt (g/cm2),frp (g/cm2),crp(g/cm2),lrp(g/cm2),TOM (g/cm2),wi_t (g/cm2),V(cm3),db_corr (cm),BD (g/cm3),AFDW or OM %,OC Density (mg/cm3),C_Seq (g/m2/yr),OM Density (mg/cm3),Inorganic Matter(%),Inorganic Matter Density (mg/cm3),Necro_Mass (Mg/ha),LOM_A (g/cm2),ROM_A_cell (g/cm2),ROM_A_lig(g/cm2),ROM_A (g/cm2),LOM_Nr (g/cm2),ROM_Nr (g/cm2),Cumulative Nr (Mg/ha),Vol cont to cohort from litter,Vol cont to cohort from live root,Vol cont to cohort from necro root,Vol cont to cohort from inorganic,Vol cont % to cohort from litter,Vol cont % to cohort from live root,Vol cont %to cohort from necro root,Vol cont % to cohort from inorganic
0,0.027692730000000002,0.00733647,0.0083328,0.01566927,0.0,0.42020679415967543,0.0022685491195882737,0.0002495404031547101,0.00011342745597941369,9.641333758250164e-05,0.04540369420762944,0.018614854911958828,0.42020679839777847,0.42020679839777847,0.15235010324365736,70.92271666890512,49.94141080077567,209.85720340062178,108.05083206828354,29.077283331094876,44.29927117537382,4.3362,0.027692730000000002,0.00733647,0.0083328,0.01566927,0.0,0.0,0.0,0.3942,0.018560856432994967,0.0,0.007445941964783531,93.81095248888387,4.417076664101181,0.0,1.771970847014953
1,0.002912066824332483,0.007412692083883653,0.008414761725828827,0.01582745380971248,0.42020679415967543,0.6061496828182266,0.0010008020733825987,0.00011008822807208586,5.004010366912994e-05,4.253408811876045e-05,0.0196402425000893,0.01848808020733826,0.1859428911746562,0.6061496853343317,0.20505394138253777,51.51090083557044,46.85397504502196,87.12163582896578,105.62513240498778,48.48909916442956,99.42880897754999,1.8739520634044962,0.002769272999999999,0.007256502477,0.00830030208,0.015556804557,0.00014279382433248378,0.00027064925271247896,0.04134430770449628,0.16660070506363633,0.00818838060040308,0.0037585734276814795,0.007395232082935304,89.59778134628888,4.403707261232015,2.0213590333771085,3.9771523591020004
2,0.0012860635527287105,0.007400798962921713,0.008432439623710614,0.015833238586632326,0.6061496828182266,0.7766672693546678,0.0009161440091021624,0.00010077584100123787,4.580720045510812e-05,3.893612038684191e-05,0.01794383174755298,0.018479614400910217,0.17051758891993665,0.7766672717381632,0.21360521444837666,49.26450856520637,46.42993866947179,79.17121195618859,105.23155916764796,50.73549143479363,108.37365528072871,1.7119302139361037,0.0011630946599999997,0.0071774066000007,0.008267930901888,0.0154453375018887,0.00012296889272871083,0.00038790108474362484,0.09243130545172984,0.1509857469262609,0.007495723710835875,0.004644272522475778,0.007391845760364087,88.5455558471176,4.395865410902187,2.723632530751071,4.334946211229148
3,0.0005978133767989941,0.00738320676925255,0.008445777155157392,0.015828983924409942,0.7766672693546678,0.9405857535852898,0.0008792174026090887,9.671391428699975e-05,4.396087013045444e-05,3.736673961088627e-05,0.017218092963557117,0.01847592174026091,0.1639184865466236,0.9405857559012913,0.21775466242891117,48.23803964454403,46.22959128893892,75.7788463775184,105.0405803903012,51.76196035545597,112.71408203860996,1.6426797301208935,0.0004884997572,0.007099172868060693,0.008235685971370636,0.01533485883943133,0.00010931361959899417,0.0004941250849786125,0.1527751759094905,0.14384871451483028,0.007193596930437999,0.005485806405250969,0.007390368696104365,87.75624857536441,4.3885208325126355,3.346667310578561,4.508563281544397
4,0.0003064239576628066,0.007363263933637333,0.00845719953830092,0.015820463471938252,0.9405857535852898,1.1016399383955275,0.0008624515146746382,9.48696666142102e-05,4.3122575733731914e-05,3.6654189373672124e-05,0.016903093792808233,0.018474245151467464,0.16105418708611638,1.1016399406714061,0.2196610940972264,47.77943818621574,46.138650290206016,74.30822815739734,104.95283667334948,52.22056181378426,114.70825742387692,1.612688742960106,0.000205169898024,0.007021791883798831,0.008203566796082291,0.015225358679881121,0.00010125405963880659,0.0005951047920571308,0.2224110610790842,0.1402775325264102,0.007056421483701585,0.006330535015417612,0.007389698060586985,87.09958745214317,4.381395858977877,3.9306863919238855,4.588330296955075
5,0.00018298507280957386,0.007342384143546035,0.008467731451274454,0.01581011559482049,1.1016399383955275,1.261410070488834,0.0008542040135345725,9.396244148880297e-05,4.271020067672863e-05,3.630367057521933e-05,0.016761884279811182,0.018473420401353458,0.15977013434064305,1.2614100727361706,0.2205374917319659,47.571276682535405,46.097070697814175,73.6493517809989,104.91250038053713,52.428723317464595,115.62499135142876,1.5993100667630065,8.617135717008001e-05,0.006945254352265424,0.00817157288557757,0.015116827237842995,9.681371563949385e-05,0.0006932883569774964,0.30142126834078325,0.13820907813648248,0.006988941928919229,0.007182746114699912,0.0073893681605413835,86.50495207183675,4.374373194190493,4.495675079915566,4.624999654057149
6,0.0001306216022119547,0.007321164102713239,0.00847780616211737,0.01579897026483061,1.261410070488834,1.4205646442266853,0.0008495571525152943,9.345128677668237e-05,4.247785762576472e-05,3.610617898190001e-05,0.01669419330430633,0.01847295571525153,0.1591545759616127,1.4205646464504467,0.2209622237191598,47.47098860650324,46.07697039908834,73.33360685462682,104.89295204639855,52.52901139349676,116.06927167276125,1.5929591867042565,3.619197001143361e-05,0.006869551079825731,0.008139703751323817,0.015009254831149548,9.44296322005211e-05,0.0007897154336810631,0.38983577492894167,0.13677678910146346,0.006950922156943317,0.008037682417105311,0.007389182286100612,85.93958940549302,4.367403271282533,5.050236456313993,4.642770866910447
7,0.00010833644789409618,0.007299855423944342,0.008487607124215273,0.015787462548159617,1.4205646442266853,1.579386327166726,0.000846433402933087,9.310767432263957e-05,4.232167014665435e-05,3.59734196246562e-05,0.01665758905869349,0.01847264334029331,0.1588216851424218,1.579386329369107,0.22119292064861362,47.4166776624396,46.066066487829076,73.16290307479858,104.8823341960889,52.5833223375604,116.31058645252472,1.5895798996053714,1.5200627404802116e-05,0.006794672973055631,0.008107958906693654,0.014902631879749285,9.313582048929406e-05,0.0008848306684103319,0.48763242381890426,0.13561665915594623,0.006925364205816167,0.008890604444542054,0.007389057336117324,85.38925842169054,4.360465133968271,5.597852986240192,4.652423458100989
8,9.878005866314354e-05,0.007278563939615293,0.008497212253775822,0.015775776193391114,1.579386327166726,1.7379945177719571,0.0008439550580989941,9.283505639088936e-05,4.2197752904949706e-05,3.586808996920725e-05,0.016634115804343354,0.0184723955058099,0.15860819278726354,1.7379945199539895,0.22134109652986572,47.381853632185184,46.0590680255654,73.05345541000565,104.8755143856547,52.618146367814816,116.46558214421103,1.5874556252054257,6.384263510016889e-06,0.006720611037649324,0.008076337866957549,0.014796948904606873,9.239579515312665e-05,0.0009788272887842411,0.5947547322126411,0.1345757560737899,0.00690508683899177,0.009738391672157889,0.00738895820232396,84.84792223456728,4.3535499129312685,6.1399045667330086,4.65862328576844
9,9.461037577056147e-05,0.0072573338984236015,0.00850665487844248,0.01576398877686608,1.7379945177719571,1.8964395249591957,0.0008417513000933861,9.259264301027247e-05,4.2087565004669304e-05,3.5774430253968914e-05,0.01661617532272069,0.01847217513000934,0.15844500934946454,1.8964395271214216,0.22145443770551063,47.35524784815833,46.053717511950104,72.9698170175853,104.87029784618996,52.64475215184167,116.58413985932067,1.5858599152636643,2.6813906742070937e-06,0.006647356377338947,0.008044840149276413,0.01469219652661536,9.192898509635437e-05,0.0010717922502507214,0.7111268557473486,0.13358979924808698,0.0068870560916731586,0.010579283957700688,0.007388870052003736,84.31303693096625,4.346653845362301,6.676943629298627,4.663365594372826
