Age(yr),LOM (g/cm2),ROM_cellulose (g/cm2),ROM_lignin(g/cm2),ROM (g/cm2),dt (cm),db (cm),rt (g/cm2),frp (g/cm2),crp(g/cm2),lrp(g/cm2),TOM (g/cm2),wi_t (g/cm2),V(cm3),db_corr (cm),BD (g/cm3),AFDW or OM %,OC Density (mg/cm3),C_Seq (g/m2/yr),OM Density (mg/cm3),Inorganic Matter(%),Inorganic Matter Density (mg/cm3),Necro_Mass (Mg/ha),LOM_A (g/cm2),ROM_A_cell (g/cm2),ROM_A_lig(g/cm2),ROM_A (g/cm2),LOM_Nr (g/cm2),ROM_Nr (g/cm2),Cumulative Nr (Mg/ha),Vol cont to cohort from litter,Vol cont to cohort from live root,Vol cont to cohort from necro root,Vol cont to cohort from inorganic,Vol cont % to cohort from litter,Vol cont % to cohort from live root,Vol cont %to cohort from necro root,Vol cont % to cohort from inorganic
0,0.03523386,0.00910134,0.0104208,0.01952214,0.0,0.5602871036553816,0.004637379509229014,0.0006028593361997718,0.0002782427705537408,0.0001970886291422331,0.058929641558306115,0.0614077379509229,0.5602871093467884,0.5602871093467884,0.2147780620002565,48.97035468001581,46.372967819996745,259.82176091697613,105.17757873638986,51.02964531998419,109.60048326386665,5.4756,0.03523386,0.00910134,0.0104208,0.01952214,0.0,0.0,0.0,0.49778181818181816,0.037942195984601024,0.0,0.02456309518036916,88.84406046074447,6.771920208700855,0.0,4.384019330554666
1,0.003864803791607964,0.009368720244204553,0.010642527900493649,0.0200112481446982,0.5602871036553816,0.819271564930429,0.0021347953489017292,0.00027752339535722483,0.00012808772093410374,9.072880232832349e-05,0.02579736775031772,0.061157479534890175,0.2589845168168444,0.819271620472226,0.3357530726313764,29.66754419762655,41.43648486001386,107.31408010059178,99.60969121780278,70.33245580237345,236.14338141357362,2.387605193630616,0.0035233859999999964,0.009002135393999999,0.010380158879999999,0.019382294273999998,0.00034141779160796765,0.0006289538706982026,0.09703716623061702,0.2082334570363636,0.017466507400105056,0.00882156056641973,0.02446299181395607,80.40382475205176,6.7442284252295615,3.406211566175748,9.445735256542946
2,0.0017803876304475369,0.009435356765873405,0.010721802358136537,0.020157159124009942,0.819271564930429,1.0593086096422204,0.0019736820110702515,0.0002565786614391327,0.0001184209206642151,8.388148547048569e-05,0.023713860564420704,0.06114136820110702,0.24003709786608557,1.0593086627965145,0.3535088097626796,27.94625730129952,40.80661553897564,97.95101567712821,98.7924815590399,72.05374269870047,254.7163282036397,2.193754675445748,0.0014798221199999986,0.0089040121182054,0.010339676260367999,0.019243688378573397,0.0003005655104475382,0.0009134707454365454,0.2184407918190254,0.18839554998703087,0.016148307363302056,0.011036693235309852,0.02445654728044281,78.4860138961249,6.727421513949084,4.597911461780428,10.188653128145587
3,0.0008930711954889907,0.009488530940100487,0.010791652336080126,0.020280183276180613,1.0593086096422204,1.291853980173259,0.0019075696480560752,0.0002479840542472898,0.0001144541788833645,8.10717100423832e-05,0.022890067154920073,0.06113475696480561,0.23254542237610473,1.2918540320183252,0.36132650241478015,27.24202923924526,40.533856883552446,94.25962869518285,98.43267143697663,72.75797076075474,262.89383097780353,2.1173254471669605,0.0006215252903999995,0.008806958386116961,0.010299351522952563,0.019106309909069523,0.00027154590508899127,0.0011738733671110904,0.36298271903903356,0.17934395635881384,0.015607388029549706,0.013140175201818925,0.024453902785922244,77.12211856346667,6.711543865313019,5.6505843321081635,10.515753239112142
4,0.0005155309023042086,0.009535899333532223,0.01085748945994748,0.020393388793479704,1.291853980173259,1.521784109527835,0.0018817604401253712,0.00024462885721629826,0.00011290562640752227,7.997481870532828e-05,0.022602504091896746,0.06113217604401253,0.22993018034393908,1.521784160517198,0.3641743768071485,26.993002248543558,40.43513450947476,92.97257769994967,98.30159772017306,73.00699775145644,265.8727790869754,2.090891969578391,0.0002610406219679998,0.008710962539708286,0.010259184052013048,0.018970146591721332,0.0002544902803362088,0.001423242201758372,0.5307559672484916,0.174828974669903,0.015396221782843946,0.015252113473587098,0.024452870417605015,76.03567935639704,6.6960421462783355,6.633367333845586,10.634911163479016
5,0.00035506382785111787,0.009580711193588632,0.01092160961147466,0.02050232080506329,1.521784109527835,1.7511739783506544,0.0018730323677453508,0.00024349420780689563,0.00011238194206472104,7.960387562917742e-05,0.022543113763885222,0.061131303236774535,0.22938991914821183,1.7511740286760469,0.3647693730891313,26.941464992468934,40.4145506072383,92.70690496205708,98.27421295405671,73.05853500753106,266.49516013507457,2.085738463291441,0.00010963706122655992,0.008616013048025466,0.010219173234210196,0.018835186282235662,0.000245426766624558,0.001667134522827629,0.7220120961937104,0.17222566675874748,0.01532481028155287,0.0173869208132017,0.024452521294709813,75.07987595892138,6.68068167008303,7.579635965592622,10.659806405402986
6,0.0002870250697079855,0.009624344650248787,0.010984985886259837,0.020609330536508624,1.7511739783506544,1.9809057163697104,0.00187152260907029,0.00024329793917913768,0.0001122913565442174,7.953971088548733e-05,0.02258072595437987,0.061131152260907026,0.22973178776236164,1.980905766113016,0.36438961726045427,26.974339168818616,40.4276866094899,92.87524719894606,98.29169125579496,73.02566083118138,266.0979260046593,2.089635560621661,4.604756571515517e-05,0.008522098505801988,0.010179318458596777,0.018701416964398764,0.0002409775039928303,0.0019079135721098602,0.9369012038039795,0.17043149572830837,0.0153124577105751,0.01953537341911537,0.02445246090436281,74.18716294699519,6.665363056511169,8.503556956307275,10.643917040186375
7,0.0002583376383249359,0.009667383155808082,0.011048029575956794,0.020715412731764873,1.9809057163697104,2.2113535320720223,0.0018730415400642038,0.0002434954002083465,0.00011238249240385223,7.960426545272867e-05,0.02265948775614759,0.061131304154006416,0.23044786489930794,2.211353581269018,0.3635997753624911,27.042933047398076,40.455026483912135,93.22774477662504,98.32804381176828,72.95706695260192,265.27173155072285,2.0973750370089808,1.9339977600365174e-05,0.008429207632088745,0.01013961911660825,0.018568826748696997,0.00023899766072457072,0.0021465859830678766,1.1754595681832243,0.16898333387543057,0.015324885327798032,0.021687124034476795,0.024452521661602566,73.32822716724509,6.650044397024073,9.41085917370195,10.610869262028906
8,0.00024640074540061994,0.009710072613151849,0.011110913331822776,0.020820985944974627,2.2113535320720223,2.442675343366365,0.001875809271766991,0.00024385520532970884,0.00011254855630601946,7.972189405009713e-05,0.022755615034965537,0.061131580927176694,0.23132185996146645,2.4426753920334887,0.36264275229377874,27.126446144695322,40.48818731713342,93.65802796667558,98.37209089861275,72.87355385530468,264.270661395166,2.1067386690375245,8.122790592153373e-06,0.008337329268898979,0.010100074602053477,0.018437403870952454,0.00023827795480846657,0.0023835820740221725,1.4376455710662883,0.1676866060140419,0.01534753040536629,0.023835091171187626,0.024452632370870676,72.49060077675975,6.634708197453919,10.303864569979712,10.570826455806637
9,0.00024159101908356157,0.009752515544601674,0.011173708430997428,0.020926223975599102,2.442675343366365,2.674936945106843,0.0018790695408941655,0.0002442790403162415,0.00011274417245364993,7.986045548800204e-05,0.022858977581487413,0.06113190695408941,0.2322616498860668,2.674936993252432,0.3616218371684584,27.216021962246174,40.52360349932427,94.12079008081854,98.41907862404574,72.78397803775383,263.2027585444127,2.1167814994682663,3.411572048704417e-06,0.00824645237986798,0.010060684311105468,0.018307136690973447,0.00023817944703485714,0.0026190872846256555,1.7233722442323396,0.16645952966383776,0.015374205334588628,0.02597515210600466,0.024452762781635766,71.66896891737939,6.619347336131584,11.183573404712515,10.528110341776516
