Age(yr),LOM (g/cm2),ROM_cellulose (g/cm2),ROM_lignin(g/cm2),ROM (g/cm2),dt (cm),db (cm),rt (g/cm2),frp (g/cm2),crp(g/cm2),lrp(g/cm2),TOM (g/cm2),wi_t (g/cm2),V(cm3),db_corr (cm),BD (g/cm3),AFDW or OM %,OC Density (mg/cm3),C_Seq (g/m2/yr),OM Density (mg/cm3),Inorganic Matter(%),Inorganic Matter Density (mg/cm3),Necro_Mass (Mg/ha),LOM_A (g/cm2),ROM_A_cell (g/cm2),ROM_A_lig(g/cm2),ROM_A (g/cm2),LOM_Nr (g/cm2),ROM_Nr (g/cm2),Cumulative Nr (Mg/ha),Vol cont to cohort from litter,Vol cont to cohort from live root,Vol cont to cohort from necro root,Vol cont to cohort from inorganic,Vol cont % to cohort from litter,Vol cont % to cohort from live root,Vol cont %to cohort from necro root,Vol cont % to cohort from inorganic
0,0.010865934000000002,0.002508726,0.0029819400000000006,0.005490666000000001,0.0,0.18273228377806444,0.0035759291593679236,0.00042911149912415084,2.5031504115575467e-05,0.00015197698927313675,0.019574936243431134,0.011945992915936792,0.18273236301574866,0.18273236301574866,0.17249779206681257,62.10139347244947,48.64189015961872,88.8844753041962,107.12353258269901,37.89860652755053,65.37425948411357,1.6356600000000003,0.010865934000000002,0.002508726,0.0029819400000000006,0.005490666000000001,0.0,0.0,0.0,0.14869636363636365,0.029257602213010284,0.0,0.004778397166374717,81.37385254715299,16.011177073482457,0.0,2.6149703793645434
1,0.001170587148449188,0.0026874616840543734,0.0032257438813580166,0.00591320556541239,0.18273228377806444,0.2649816793846178,0.0016074256395033958,0.00019289107674040748,1.1251979476523771e-05,6.831558967889432e-05,0.008530475789414634,0.01174914256395034,0.08224943692934952,0.264981720707414,0.24656239739105715,42.06428168801895,44.919776566117136,36.94626329555325,103.71470137530696,57.93571831198105,142.8476960157502,0.7083792713861577,0.0010865934000000004,0.0024813808866,0.0029703104340000007,0.005451691320600001,8.399374844918748e-05,0.0004615142448123888,0.054550799326157626,0.059438952005454564,0.013151664323209602,0.0049591635751052385,0.004699657025580136,72.26669777266844,15.989974903422858,6.029419483278716,5.713907840630009
2,0.0006441204011440008,0.0027508042913027613,0.003327984063675061,0.006078788354977822,0.2649816793846178,0.34331020001258916,0.001529570181493097,0.00018354842177917163,1.070699127045168e-05,6.500673271345663e-05,0.00809952191946561,0.01174135701814931,0.0783285602569471,0.34331023964156493,0.2533032507239936,40.822394738321286,44.63054953464755,34.95846688525304,103.40445289554835,59.177605261678714,149.89879782844528,0.6722908756121823,0.0005628553812000002,0.00245433383493606,0.002958726223307401,0.005413060058243461,8.126501994400062e-05,0.000665728296734361,0.1292501309939938,0.05432650399494056,0.012514665121307158,0.006790848333439651,0.004696542807259724,69.35720995857606,15.97714177338937,8.669696354896756,5.995951913137813
3,0.0003695819064361202,0.002808969654087008,0.003424264188810525,0.006233233842897533,0.34331020001258916,0.42032672116738506,0.0015027822408056756,0.00018033386889668106,1.051947568563973e-05,6.386824523424122e-05,0.007955319766058762,0.011738678224080567,0.07701656007198461,0.42032676008457376,0.2557112129096919,40.394640895373016,44.52858353321712,34.294383286064004,103.29362618407276,59.605359104626984,152.41758672561912,0.6602815749333654,0.00029155908746160013,0.002427581596135257,0.002947187191036502,0.005374768787171759,7.802281897452006e-05,0.0008584650557257748,0.22289891846402327,0.05151207158757599,0.012295491061137346,0.008513526133639043,0.004695471289632227,66.88440971581892,15.964736739274244,11.054150075882065,6.096703469024764
4,0.0002267417536144105,0.002864957225395091,0.0035182553226909387,0.00638321254808603,0.42032672116738506,0.4974091946370109,0.0015029107017955835,0.00018034928421547,1.0520374912569085e-05,6.387370482631231e-05,0.007962573933316466,0.011738691070179559,0.07708251218549424,0.4974092333528793,0.2555867011195246,40.41656173805841,44.53383920278962,34.327802030158715,103.29935685223947,59.58343826194159,152.2873442672851,0.660995430170044,0.00015102760730510887,0.0024011209567373825,0.00293569316099146,0.005336814117728843,7.571414630930162e-05,0.001046398430357187,0.3351101761306721,0.049889470227581376,0.01229654210560023,0.010201023424240806,0.004695476428071823,64.72216435749459,15.952440776721666,13.233901095092335,6.091493770691403
5,0.00015275357182799546,0.0029203419353827638,0.0036118890672911497,0.0065322310026739135,0.4974091946370109,0.5752924622363664,0.0015173479956247335,0.00018208175947496803,1.0621435969373135e-05,6.448728981405118e-05,0.00805059777056417,0.011740134799562475,0.07788330637949925,0.5752925010165102,0.25410750377870484,40.67862441189387,44.59641638404769,34.733163606665094,103.36743706457837,59.32137558810613,150.74006671412647,0.6684984574501909,7.82323005840464e-05,0.0023749487383089452,0.002924243957663593,0.005299192695972538,7.452127124394905e-05,0.0012330383067013758,0.46586613392520465,0.048885681786878035,0.012414665418747821,0.011886905254048407,0.00469605391982499,62.76785624466749,15.940085232457026,15.262455854310424,6.0296026685650626
6,0.00011476680620433255,0.002975954973274945,0.003706188915675983,0.006682143888950928,0.5752924622363664,0.6543754777411619,0.0015395131562047364,0.00018474157874456837,1.0776592093433154e-05,6.54293091387013e-05,0.008182472535739524,0.011742351315620474,0.0790830544875166,0.654375516723883,0.2519480814250183,41.066724588287975,44.6882408087802,35.340825828320284,103.46682470428779,58.933275411712025,148.4812567207305,0.6796910695155262,4.052433170253604e-05,0.0023490617970613778,0.0029128394062287047,0.005261901203290082,7.424247450179651e-05,0.0014202426856608462,0.6153146499414689,0.04820386849993289,0.012596016732584207,0.013586228728751298,0.004696940526248189,60.9534732975469,15.927579952760311,17.179696480863555,5.9392502688292215
7,9.561029131033263e-05,0.003032239207258327,0.003801704281995312,0.00683394348925364,0.6543754777411619,0.7348818811611948,0.0015659722622171132,0.00018791667146605357,1.0961805835519792e-05,6.655382114422732e-05,0.008338928816559375,0.011744997226221712,0.0805064426773921,0.7348819204185539,0.24946979862545943,41.520411889570255,44.794329065991086,36.06232085223448,103.58088792937222,58.479588110429745,145.88891069608718,0.6929553780563973,2.099160382191367e-05,0.0023234570234734087,0.002901479332544413,0.0052249363560178215,7.461868748841896e-05,0.0016090071332358182,0.7836772320138926,0.047690254180361234,0.012812500327230926,0.015305689279311247,0.004697998890488685,59.237810781762015,15.914875755439315,19.011757034955174,5.835556427843485
8,8.630870527567829e-05,0.003089434781370784,0.0038987371480482527,0.006988171929419036,0.7348818811611948,0.8169439268252764,0.0015949349192866157,0.00019139219031439388,1.116454443500631e-05,6.778473406968117e-05,0.008509922062052668,0.011747893491928662,0.0820620852336139,0.8169439663948087,0.24685962459169164,42.00809331774268,44.90690185708078,36.85154007773298,103.70102146230707,57.99190668225732,143.15860312938455,0.7074480634694714,1.0873650779751281e-05,0.0022981313419175487,0.0028901635631474894,0.005188294905065038,7.5435054495927e-05,0.001799877024353998,0.9712084398988852,0.04726516868949808,0.013049467521435947,0.01704829162590841,0.0046991573967714645,57.59684092226496,15.90194483150994,20.774870121049723,5.726344125175382
9,8.217077742470291e-05,0.0031476760416523303,0.003997460427617648,0.007145136469269979,0.8169439268252764,0.9006463513176045,0.001625469080708377,0.00019505628968500524,1.137828356495864e-05,6.908243593010603e-05,0.00869022941933222,0.011750946908070839,0.08370246439352125,0.9006463912187976,0.24421235952265766,42.51335285280163,45.02198097253955,37.68450759279783,103.82286211401996,57.48664714719837,140.3894974086377,0.7227307246694682,5.632551103911164e-06,0.002273081710290647,0.0028788919252512144,0.005151973635541861,7.653822632079174e-05,0.0019931628337281175,1.1781785459037761,0.04688732896950702,0.013299292478523086,0.01881546418226281,0.004700378763228335,56.01666487269663,15.88877050978738,22.478984721170487,5.6155798963455075
